period;format;download_path;download_mode;path;missing_symbols;inputs_folder;data_folder;ft_movimentacoes;ft_fora_do_prazo;ft_exclusoes
2021-10m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202110/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202110.txt";";&CAGEDFOR202110.txt";";&CAGEDEXC202110.txt"
2021-11m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202111/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202111.txt";";&CAGEDFOR202111.txt";";&CAGEDEXC202111.txt"
2021-12m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2021/202112/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202112.txt";";&CAGEDFOR202112.txt";";&CAGEDEXC202112.txt"
2022-01m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202201/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202201.txt";";&CAGEDFOR202201.txt";";&CAGEDEXC202201.txt"
2022-02m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202202/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202202.txt";";&CAGEDFOR202202.txt";";&CAGEDEXC202202.txt"
2022-03m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202203/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202203.txt";";&CAGEDFOR202203.txt";";&CAGEDEXC202203.txt"
2022-04m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202204/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202204.txt";";&CAGEDFOR202204.txt";";&CAGEDEXC202204.txt"
2022-05m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202205/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202205.txt";";&CAGEDFOR202205.txt";";&CAGEDEXC202205.txt"
2022-06m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202206/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202206.txt";";&CAGEDFOR202206.txt";";&CAGEDEXC202206.txt"
2022-07m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202207/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202207.txt";";&CAGEDFOR202207.txt";";&CAGEDEXC202207.txt"
2022-08m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202208/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202208.txt";";&CAGEDFOR202208.txt";";&CAGEDEXC202208.txt"
2022-09m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202209/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202209.txt";";&CAGEDFOR202209.txt";";&CAGEDEXC202209.txt"
2022-10m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202210/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202210.txt";";&CAGEDFOR202210.txt";";&CAGEDEXC202210.txt"
2022-11m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202211/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202211.txt";";&CAGEDFOR202211.txt";";&CAGEDEXC202211.txt"
2022-12m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2022/202212/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202212.txt";";&CAGEDFOR202212.txt";";&CAGEDEXC202212.txt"
2023-01m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202301/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202301.txt";";&CAGEDFOR202301.txt";";&CAGEDEXC202301.txt"
2023-02m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202302/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202302.txt";";&CAGEDFOR202302.txt";";&CAGEDEXC202302.txt"
2023-03m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202303/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202303.txt";";&CAGEDFOR202303.txt";";&CAGEDEXC202303.txt"
2023-04m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202304/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202304.txt";";&CAGEDFOR202304.txt";";&CAGEDEXC202304.txt"
2023-05m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202305/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202305.txt";";&CAGEDFOR202305.txt";";&CAGEDEXC202305.txt"
2023-06m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202306/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202306.txt";";&CAGEDFOR202306.txt";";&CAGEDEXC202306.txt"
2023-07m;csv;"ftp://ftp.mtps.gov.br/pdet/microdados/NOVO%20CAGED/2023/202307/";ftp;;{&{ñ&{ñ c&{ñ cl&{ñ clas&{ñ class&{ñ class};;;";&CAGEDMOV202307.txt";";&CAGEDFOR202307.txt";";&CAGEDEXC202307.txt"
